from,to,total
Algeria,United States,2
Andorra,United Kingdom,2
Andorra,Sweden,2
Andorra,Spain,2
Andorra,Slovenia,2
Andorra,Slovakia,2
Andorra,Romania,2
Andorra,Portugal,2
Andorra,Poland,2
Andorra,Netherlands,2
Andorra,Malta,2
Andorra,Luxembourg,2
Andorra,Lithuania,2
Andorra,Latvia,2
Andorra,Italy,2
Andorra,Ireland,2
Andorra,Hungary,2
Andorra,Greece,2
Andorra,Gibraltar,2
Andorra,Germany,2
Andorra,France,2
Andorra,Finland,2
Andorra,Estonia,2
Andorra,Denmark,2
Andorra,Czech Republic,2
Andorra,Cyprus,2
Andorra,Croatia,2
Andorra,Bulgaria,2
Andorra,Belgium,2
Andorra,Austria,2
Angola,United States,2
Anguilla,United States,2
Anguilla,United Kingdom,11
Anguilla,Sweden,7
Anguilla,Spain,7
Anguilla,Slovenia,7
Anguilla,Slovakia,7
Anguilla,Romania,7
Anguilla,Portugal,7
Anguilla,Poland,7
Anguilla,Netherlands,7
Anguilla,Malta,7
Anguilla,Luxembourg,7
Anguilla,Lithuania,7
Anguilla,Latvia,7
Anguilla,Italy,7
Anguilla,Ireland,7
Anguilla,Hungary,7
Anguilla,Greece,7
Anguilla,Gibraltar,7
Anguilla,Germany,7
Anguilla,France,7
Anguilla,Finland,7
Anguilla,Estonia,7
Anguilla,Denmark,7
Anguilla,Czech Republic,7
Anguilla,Cyprus,7
Anguilla,Croatia,3
Anguilla,Bulgaria,7
Anguilla,Belgium,7
Anguilla,Austria,7
Antigua and Barbuda,United States,2
Argentina,United Kingdom,2
Argentina,Sweden,2
Argentina,Spain,2
Argentina,South Africa,2
Argentina,Slovenia,2
Argentina,Seychelles,2
Argentina,Romania,2
Argentina,Norway,2
Argentina,Netherlands,2
Argentina,Mexico,2
Argentina,Malta,2
Argentina,Luxembourg,2
Argentina,Lithuania,2
Argentina,Latvia,2
Argentina,"Korea, Republic of",2
Argentina,Jersey,2
Argentina,Italy,2
Argentina,Isle of Man,2
Argentina,Ireland,2
Argentina,India,2
Argentina,Iceland,2
Argentina,Hungary,2
Argentina,Guernsey,2
Argentina,Gibraltar,2
Argentina,Germany,2
Argentina,France,2
Argentina,Finland,2
Argentina,Faroe Islands,2
Argentina,Estonia,2
Argentina,Denmark,2
Argentina,Czech Republic,2
Argentina,Bulgaria,2
Argentina,Belgium,2
Armenia,United States,2
Aruba,United Kingdom,7
Aruba,Sweden,7
Aruba,Spain,7
Aruba,Slovenia,7
Aruba,Slovakia,7
Aruba,Romania,7
Aruba,Portugal,7
Aruba,Poland,7
Aruba,Netherlands,7
Aruba,Malta,7
Aruba,Luxembourg,7
Aruba,Lithuania,7
Aruba,Latvia,7
Aruba,Italy,7
Aruba,Ireland,7
Aruba,Hungary,7
Aruba,Greece,7
Aruba,Gibraltar,7
Aruba,Germany,7
Aruba,France,7
Aruba,Finland,7
Aruba,Estonia,7
Aruba,Denmark,7
Aruba,Czech Republic,7
Aruba,Cyprus,7
Aruba,Croatia,3
Aruba,Bulgaria,7
Aruba,Belgium,7
Aruba,Austria,7
Australia,United States,4
Austria,United States,4
Austria,United Kingdom,1
Austria,Switzerland,1
Austria,Sweden,1
Austria,Spain,1
Austria,Slovenia,1
Austria,Slovakia,1
Austria,San Marino,1
Austria,Romania,1
Austria,Portugal,1
Austria,Poland,1
Austria,Netherlands,1
Austria,Monaco,1
Austria,Malta,1
Austria,Luxembourg,1
Austria,Lithuania,1
Austria,Liechtenstein,1
Austria,Latvia,1
Austria,Italy,1
Austria,Ireland,1
Austria,Hungary,1
Austria,Greece,1
Austria,Gibraltar,1
Austria,Germany,1
Austria,France,1
Austria,Finland,1
Austria,Estonia,1
Austria,Denmark,1
Austria,Czech Republic,1
Austria,Cyprus,1
Austria,Croatia,1
Austria,Bulgaria,1
Austria,Belgium,1
Austria,Andorra,1
Azerbaijan,United States,3
Bahamas,United States,3
Bahrain,United States,2
Barbados,United States,3
Belarus,United States,3
Belgium,"Virgin Islands, British",7
Belgium,United States,2
Belgium,United Kingdom,9
Belgium,Switzerland,2
Belgium,Sweden,9
Belgium,Spain,9
Belgium,South Africa,2
Belgium,Slovenia,9
Belgium,Slovakia,9
Belgium,Seychelles,2
Belgium,San Marino,2
Belgium,Romania,9
Belgium,Portugal,9
Belgium,Poland,9
Belgium,Norway,2
Belgium,Netherlands,9
Belgium,Montserrat,7
Belgium,Monaco,2
Belgium,Mexico,2
Belgium,Malta,9
Belgium,Luxembourg,9
Belgium,Lithuania,9
Belgium,Liechtenstein,2
Belgium,Latvia,9
Belgium,"Korea, Republic of",2
